source_row_id,account_id,customer_id,branch_id,account_type,currency,opened_at,status,balance,credit_limit,updated_at
accounts-000001,AC-00001,CU-00001,BR-001,credit,USD,2026-01-01T00:00:00Z,active,2916.00,8640.00,2026-01-01T00:00:00Z
accounts-000002,AC-00002,CU-00002,BR-002,credit,USD,2026-01-01T00:53:00Z,active,13490.00,1858.00,2026-01-01T00:17:00Z
accounts-000003,AC-00003,CU-00003,BR-003,checking,USD,2026-01-01T01:46:00Z,active,4861.00,782.00,2026-01-01T00:34:00Z
accounts-000004,AC-00004,CU-00004,BR-004,savings,USD,2026-01-01T02:39:00Z,active,22712.00,10221.00,2026-01-01T00:51:00Z
accounts-000005,AC-00005,CU-00005,BR-005,checking,USD,2026-01-01T03:32:00Z,active,22491.00,6001.00,2026-01-01T01:08:00Z
accounts-000006,AC-00006,CU-00006,BR-006,savings,USD,2026-01-01T04:25:00Z,active,24072.00,13316.00,2026-01-01T01:25:00Z
accounts-000007,AC-00007,CU-00007,BR-007,savings,USD,2026-01-01T05:18:00Z,active,8794.00,9295.00,2026-01-01T01:42:00Z
accounts-000008,AC-00008,CU-00008,BR-008,savings,USD,2026-01-01T06:11:00Z,active,10588.00,5218.00,2026-01-01T01:59:00Z
accounts-000009,AC-00009,CU-00009,BR-009,checking,USD,2026-01-01T07:04:00Z,active,17029.00,6144.00,2026-01-01T02:16:00Z
accounts-000010,AC-00010,CU-00010,BR-010,savings,USD,2026-01-01T07:57:00Z,active,15269.00,10479.00,2026-01-01T02:33:00Z
accounts-000011,AC-00011,CU-00011,BR-011,savings,USD,2026-01-01T08:50:00Z,active,6264.00,8093.00,2026-01-01T02:50:00Z
accounts-000012,AC-00012,CU-00012,BR-012,checking,USD,2026-01-01T09:43:00Z,active,19984.00,9331.00,2026-01-01T03:07:00Z
accounts-000013,AC-00013,CU-00013,BR-013,savings,USD,2026-01-01T10:36:00Z,active,3510.00,12640.00,2026-01-01T03:24:00Z
accounts-000014,AC-00014,CU-00014,BR-014,checking,USD,2026-01-01T11:29:00Z,active,8412.00,7184.00,2026-01-01T03:41:00Z
accounts-000015,AC-00015,CU-00015,BR-015,credit,USD,2026-01-01T12:22:00Z,active,2186.00,5157.00,2026-01-01T03:58:00Z
accounts-000016,AC-00016,CU-00016,BR-016,checking,USD,2026-01-01T13:15:00Z,active,1245.00,1009.00,2026-01-01T04:15:00Z
accounts-000017,AC-00017,CU-00017,BR-017,credit,USD,2026-01-01T14:08:00Z,active,23489.00,11165.00,2026-01-01T04:32:00Z
accounts-000018,AC-00018,CU-00018,BR-018,credit,USD,2026-01-01T15:01:00Z,active,15808.00,2250.00,2026-01-01T04:49:00Z
accounts-000019,AC-00019,CU-00019,BR-019,credit,USD,2026-01-01T15:54:00Z,active,16029.00,2590.00,2026-01-01T05:06:00Z
accounts-000020,AC-00020,CU-00020,BR-020,savings,USD,2026-01-01T16:47:00Z,active,10316.00,13570.00,2026-01-01T05:23:00Z
accounts-000021,AC-00021,CU-00021,BR-001,savings,USD,2026-01-01T17:40:00Z,active,2614.00,3236.00,2026-01-01T05:40:00Z
accounts-000022,AC-00022,CU-00022,BR-002,savings,USD,2026-01-01T18:33:00Z,active,238.00,7555.00,2026-01-01T05:57:00Z
accounts-000023,AC-00023,CU-00023,BR-003,checking,USD,2026-01-01T19:26:00Z,active,14655.00,5156.00,2026-01-01T06:14:00Z
accounts-000024,AC-00024,CU-00024,BR-004,credit,USD,2026-01-01T20:19:00Z,active,22589.00,12224.00,2026-01-01T06:31:00Z
accounts-000025,AC-00025,CU-00025,BR-005,credit,USD,2026-01-01T21:12:00Z,active,7132.00,7093.00,2026-01-01T06:48:00Z
accounts-000026,AC-00026,CU-00026,BR-006,savings,USD,2026-01-01T22:05:00Z,active,9957.00,12933.00,2026-01-01T07:05:00Z
accounts-000027,AC-00027,CU-00027,BR-007,checking,USD,2026-01-01T22:58:00Z,active,20091.00,6570.00,2026-01-01T07:22:00Z
accounts-000028,AC-00028,CU-00028,BR-008,savings,USD,2026-01-01T23:51:00Z,active,5924.00,12870.00,2026-01-01T07:39:00Z
accounts-000029,AC-00029,CU-00029,BR-009,savings,USD,2026-01-02T00:44:00Z,active,12149.00,9137.00,2026-01-01T07:56:00Z
accounts-000030,AC-00030,CU-00030,BR-010,savings,USD,2026-01-02T01:37:00Z,active,23014.00,11230.00,2026-01-01T08:13:00Z
accounts-000031,AC-00031,CU-00031,BR-011,credit,USD,2026-01-02T02:30:00Z,active,15807.00,2869.00,2026-01-01T08:30:00Z
accounts-000032,AC-00032,CU-00032,BR-012,savings,USD,2026-01-02T03:23:00Z,active,11034.00,4985.00,2026-01-01T08:47:00Z
accounts-000033,AC-00033,CU-00033,BR-013,savings,USD,2026-01-02T04:16:00Z,active,15390.00,10323.00,2026-01-01T09:04:00Z
accounts-000034,AC-00034,CU-00034,BR-014,credit,USD,2026-01-02T05:09:00Z,active,16078.00,5504.00,2026-01-01T09:21:00Z
accounts-000035,AC-00035,CU-00035,BR-015,checking,USD,2026-01-02T06:02:00Z,active,12437.00,3732.00,2026-01-01T09:38:00Z
accounts-000036,AC-00036,CU-00036,BR-016,credit,USD,2026-01-02T06:55:00Z,active,22582.00,13727.00,2026-01-01T09:55:00Z
accounts-000037,AC-00037,CU-00037,BR-017,savings,USD,2026-01-02T07:48:00Z,active,13179.00,11274.00,2026-01-01T10:12:00Z
accounts-000038,AC-00038,CU-00038,BR-018,credit,USD,2026-01-02T08:41:00Z,active,18790.00,2670.00,2026-01-01T10:29:00Z
accounts-000039,AC-00039,CU-00039,BR-019,checking,USD,2026-01-02T09:34:00Z,active,5293.00,1298.00,2026-01-01T10:46:00Z
accounts-000040,AC-00040,CU-00040,BR-020,checking,USD,2026-01-02T10:27:00Z,active,23685.00,1792.00,2026-01-01T11:03:00Z
accounts-000041,AC-00041,CU-00041,BR-001,checking,USD,2026-01-02T11:20:00Z,active,19150.00,5678.00,2026-01-01T11:20:00Z
accounts-000042,AC-00042,CU-00042,BR-002,savings,USD,2026-01-02T12:13:00Z,active,6752.00,4880.00,2026-01-01T11:37:00Z
accounts-000043,AC-00043,CU-00043,BR-003,checking,USD,2026-01-02T13:06:00Z,active,10718.00,4439.00,2026-01-01T11:54:00Z
accounts-000044,AC-00044,CU-00044,BR-004,checking,USD,2026-01-02T13:59:00Z,active,5892.00,6377.00,2026-01-01T12:11:00Z
accounts-000045,AC-00045,CU-00045,BR-005,credit,USD,2026-01-02T14:52:00Z,active,12305.00,12696.00,2026-01-01T12:28:00Z
accounts-000046,AC-00046,CU-00046,BR-006,savings,USD,2026-01-02T15:45:00Z,active,22663.00,5556.00,2026-01-01T12:45:00Z
accounts-000047,AC-00047,CU-00047,BR-007,credit,USD,2026-01-02T16:38:00Z,active,12353.00,4834.00,2026-01-01T13:02:00Z
accounts-000048,AC-00048,CU-00048,BR-008,savings,USD,2026-01-02T17:31:00Z,active,6447.00,999.00,2026-01-01T13:19:00Z
accounts-000049,AC-00049,CU-00049,BR-009,credit,USD,2026-01-02T18:24:00Z,active,5079.00,5779.00,2026-01-01T13:36:00Z
accounts-000050,AC-00050,CU-00050,BR-010,credit,USD,2026-01-02T19:17:00Z,active,21728.00,10801.00,2026-01-01T13:53:00Z
accounts-000051,AC-00051,CU-00051,BR-011,checking,USD,2026-01-02T20:10:00Z,active,22102.00,11975.00,2026-01-01T14:10:00Z
accounts-000052,AC-00052,CU-00052,BR-012,savings,USD,2026-01-02T21:03:00Z,active,5340.00,8956.00,2026-01-01T14:27:00Z
accounts-000053,AC-00053,CU-00053,BR-013,checking,USD,2026-01-02T21:56:00Z,active,24719.00,13157.00,2026-01-01T14:44:00Z
accounts-000054,AC-00054,CU-00054,BR-014,checking,USD,2026-01-02T22:49:00Z,active,10160.00,14662.00,2026-01-01T15:01:00Z
accounts-000055,AC-00055,CU-00055,BR-015,savings,USD,2026-01-02T23:42:00Z,active,23045.00,3627.00,2026-01-01T15:18:00Z
accounts-000056,AC-00056,CU-00056,BR-016,credit,USD,2026-01-03T00:35:00Z,active,2452.00,5833.00,2026-01-01T15:35:00Z
accounts-000057,AC-00057,CU-00057,BR-017,savings,USD,2026-01-03T01:28:00Z,active,11009.00,8862.00,2026-01-01T15:52:00Z
accounts-000058,AC-00058,CU-00058,BR-018,savings,USD,2026-01-03T02:21:00Z,active,23146.00,13067.00,2026-01-01T16:09:00Z
accounts-000059,AC-00059,CU-00059,BR-019,checking,USD,2026-01-03T03:14:00Z,active,19393.00,6041.00,2026-01-01T16:26:00Z
accounts-000060,AC-00060,CU-00060,BR-020,savings,USD,2026-01-03T04:07:00Z,active,4082.00,8677.00,2026-01-01T16:43:00Z
accounts-000061,AC-00061,CU-00061,BR-001,credit,USD,2026-01-03T05:00:00Z,active,13240.00,13980.00,2026-01-01T17:00:00Z
accounts-000062,AC-00062,CU-00062,BR-002,checking,USD,2026-01-03T05:53:00Z,active,8792.00,12851.00,2026-01-01T17:17:00Z
accounts-000063,AC-00063,CU-00063,BR-003,savings,USD,2026-01-03T06:46:00Z,active,1346.00,818.00,2026-01-01T17:34:00Z
accounts-000064,AC-00064,CU-00064,BR-004,checking,USD,2026-01-03T07:39:00Z,active,11602.00,5761.00,2026-01-01T17:51:00Z
accounts-000065,AC-00065,CU-00065,BR-005,credit,USD,2026-01-03T08:32:00Z,active,3588.00,6320.00,2026-01-01T18:08:00Z
