source_row_id,product_id,category,brand_label,unit_cost,list_price,status,updated_at
products-000001,PR-00001,grocery,Brand-01,72.00,100.80,active,2026-01-01T00:00:00Z
products-000002,PR-00002,electronics,Brand-02,119.00,166.60,active,2026-01-01T00:17:00Z
products-000003,PR-00003,electronics,Brand-03,99.00,138.60,active,2026-01-01T00:34:00Z
products-000004,PR-00004,apparel,Brand-04,76.00,106.40,active,2026-01-01T00:51:00Z
products-000005,PR-00005,electronics,Brand-05,179.00,250.60,active,2026-01-01T01:08:00Z
products-000006,PR-00006,electronics,Brand-06,84.00,117.60,active,2026-01-01T01:25:00Z
products-000007,PR-00007,apparel,Brand-07,71.00,99.40,active,2026-01-01T01:42:00Z
products-000008,PR-00008,home,Brand-08,95.00,133.00,active,2026-01-01T01:59:00Z
products-000009,PR-00009,grocery,Brand-09,95.00,133.00,active,2026-01-01T02:16:00Z
products-000010,PR-00010,home,Brand-10,112.00,156.80,active,2026-01-01T02:33:00Z
products-000011,PR-00011,apparel,Brand-11,191.00,267.40,active,2026-01-01T02:50:00Z
products-000012,PR-00012,electronics,Brand-12,34.00,47.60,active,2026-01-01T03:07:00Z
products-000013,PR-00013,apparel,Brand-13,166.00,232.40,active,2026-01-01T03:24:00Z
products-000014,PR-00014,electronics,Brand-14,23.00,32.20,active,2026-01-01T03:41:00Z
products-000015,PR-00015,electronics,Brand-15,131.00,183.40,active,2026-01-01T03:58:00Z
products-000016,PR-00016,grocery,Brand-01,128.00,179.20,active,2026-01-01T04:15:00Z
products-000017,PR-00017,apparel,Brand-02,15.00,21.00,active,2026-01-01T04:32:00Z
products-000018,PR-00018,apparel,Brand-03,30.00,42.00,active,2026-01-01T04:49:00Z
products-000019,PR-00019,electronics,Brand-04,44.00,61.60,active,2026-01-01T05:06:00Z
products-000020,PR-00020,electronics,Brand-05,148.00,207.20,active,2026-01-01T05:23:00Z
products-000021,PR-00021,electronics,Brand-06,41.00,57.40,active,2026-01-01T05:40:00Z
products-000022,PR-00022,electronics,Brand-07,113.00,158.20,active,2026-01-01T05:57:00Z
products-000023,PR-00023,home,Brand-08,183.00,256.20,active,2026-01-01T06:14:00Z
products-000024,PR-00024,home,Brand-09,16.00,22.40,active,2026-01-01T06:31:00Z
products-000025,PR-00025,home,Brand-10,72.00,100.80,active,2026-01-01T06:48:00Z
products-000026,PR-00026,apparel,Brand-11,196.00,274.40,active,2026-01-01T07:05:00Z
products-000027,PR-00027,grocery,Brand-12,18.00,25.20,active,2026-01-01T07:22:00Z
products-000028,PR-00028,electronics,Brand-13,181.00,253.40,active,2026-01-01T07:39:00Z
products-000029,PR-00029,grocery,Brand-14,7.00,9.80,active,2026-01-01T07:56:00Z
products-000030,PR-00030,apparel,Brand-15,41.00,57.40,active,2026-01-01T08:13:00Z
products-000031,PR-00031,electronics,Brand-01,5.00,7.00,active,2026-01-01T08:30:00Z
products-000032,PR-00032,home,Brand-02,99.00,138.60,active,2026-01-01T08:47:00Z
products-000033,PR-00033,home,Brand-03,197.00,275.80,active,2026-01-01T09:04:00Z
products-000034,PR-00034,apparel,Brand-04,71.00,99.40,active,2026-01-01T09:21:00Z
products-000035,PR-00035,apparel,Brand-05,160.00,224.00,active,2026-01-01T09:38:00Z
products-000036,PR-00036,home,Brand-06,43.00,60.20,active,2026-01-01T09:55:00Z
products-000037,PR-00037,electronics,Brand-07,200.00,280.00,active,2026-01-01T10:12:00Z
products-000038,PR-00038,apparel,Brand-08,77.00,107.80,active,2026-01-01T10:29:00Z
products-000039,PR-00039,apparel,Brand-09,187.00,261.80,active,2026-01-01T10:46:00Z
products-000040,PR-00040,electronics,Brand-10,86.00,120.40,active,2026-01-01T11:03:00Z
products-000041,PR-00041,apparel,Brand-11,101.00,141.40,active,2026-01-01T11:20:00Z
products-000042,PR-00042,grocery,Brand-12,94.00,131.60,active,2026-01-01T11:37:00Z
products-000043,PR-00043,home,Brand-13,22.00,30.80,active,2026-01-01T11:54:00Z
products-000044,PR-00044,home,Brand-14,58.00,81.20,active,2026-01-01T12:11:00Z
products-000045,PR-00045,apparel,Brand-15,131.00,183.40,active,2026-01-01T12:28:00Z
products-000046,PR-00046,apparel,Brand-01,49.00,68.60,active,2026-01-01T12:45:00Z
products-000047,PR-00047,electronics,Brand-02,77.00,107.80,active,2026-01-01T13:02:00Z
products-000048,PR-00048,grocery,Brand-03,7.00,9.80,active,2026-01-01T13:19:00Z
products-000049,PR-00049,electronics,Brand-04,190.00,266.00,active,2026-01-01T13:36:00Z
products-000050,PR-00050,home,Brand-05,29.00,40.60,active,2026-01-01T13:53:00Z
products-000051,PR-00051,electronics,Brand-06,117.00,163.80,active,2026-01-01T14:10:00Z
products-000052,PR-00052,apparel,Brand-07,142.00,198.80,active,2026-01-01T14:27:00Z
products-000053,PR-00053,apparel,Brand-08,56.00,78.40,active,2026-01-01T14:44:00Z
products-000054,PR-00054,apparel,Brand-09,147.00,205.80,active,2026-01-01T15:01:00Z
products-000055,PR-00055,apparel,Brand-10,33.00,46.20,active,2026-01-01T15:18:00Z
products-000056,PR-00056,apparel,Brand-11,108.00,151.20,active,2026-01-01T15:35:00Z
products-000057,PR-00057,electronics,Brand-12,64.00,89.60,active,2026-01-01T15:52:00Z
products-000058,PR-00058,home,Brand-13,69.00,96.60,active,2026-01-01T16:09:00Z
products-000059,PR-00059,grocery,Brand-14,120.00,168.00,active,2026-01-01T16:26:00Z
products-000060,PR-00060,electronics,Brand-15,82.00,114.80,active,2026-01-01T16:43:00Z
products-000061,PR-00061,apparel,Brand-01,20.00,28.00,active,2026-01-01T17:00:00Z
products-000062,PR-00062,apparel,Brand-02,147.00,205.80,active,2026-01-01T17:17:00Z
products-000063,PR-00063,electronics,Brand-03,116.00,162.40,active,2026-01-01T17:34:00Z
products-000064,PR-00064,apparel,Brand-04,6.00,8.40,active,2026-01-01T17:51:00Z
products-000065,PR-00065,apparel,Brand-05,148.00,207.20,active,2026-01-01T18:08:00Z
products-000066,PR-00066,home,Brand-06,185.00,259.00,active,2026-01-01T18:25:00Z
products-000067,PR-00067,electronics,Brand-07,77.00,107.80,active,2026-01-01T18:42:00Z
products-000068,PR-00068,grocery,Brand-08,144.00,201.60,active,2026-01-01T18:59:00Z
products-000069,PR-00069,grocery,Brand-09,55.00,77.00,active,2026-01-01T19:16:00Z
products-000070,PR-00070,apparel,Brand-10,153.00,214.20,active,2026-01-01T19:33:00Z
products-000071,PR-00071,apparel,Brand-11,129.00,180.60,active,2026-01-01T19:50:00Z
products-000072,PR-00072,grocery,Brand-12,20.00,28.00,active,2026-01-01T20:07:00Z
products-000073,PR-00073,home,Brand-13,125.00,175.00,active,2026-01-01T20:24:00Z
products-000074,PR-00074,home,Brand-14,143.00,200.20,active,2026-01-01T20:41:00Z
products-000075,PR-00075,apparel,Brand-15,189.00,264.60,active,2026-01-01T20:58:00Z
products-000076,PR-00076,apparel,Brand-01,134.00,187.60,active,2026-01-01T21:15:00Z
products-000077,PR-00077,grocery,Brand-02,70.00,98.00,active,2026-01-01T21:32:00Z
products-000078,PR-00078,grocery,Brand-03,90.00,126.00,active,2026-01-01T21:49:00Z
products-000079,PR-00079,electronics,Brand-04,27.00,37.80,active,2026-01-01T22:06:00Z
products-000080,PR-00080,apparel,Brand-05,189.00,264.60,active,2026-01-01T22:23:00Z
products-000081,PR-00081,home,Brand-06,152.00,212.80,active,2026-01-01T22:40:00Z
products-000082,PR-00082,apparel,Brand-07,187.00,261.80,active,2026-01-01T22:57:00Z
products-000083,PR-00083,apparel,Brand-08,171.00,239.40,active,2026-01-01T23:14:00Z
products-000084,PR-00084,electronics,Brand-09,187.00,261.80,active,2026-01-01T23:31:00Z
products-000085,PR-00085,apparel,Brand-10,14.00,19.60,active,2026-01-01T23:48:00Z
products-000086,PR-00086,apparel,Brand-11,48.00,67.20,active,2026-01-02T00:05:00Z
products-000087,PR-00087,grocery,Brand-12,171.00,239.40,active,2026-01-02T00:22:00Z
products-000088,PR-00088,grocery,Brand-13,58.00,81.20,active,2026-01-02T00:39:00Z
products-000089,PR-00089,home,Brand-14,173.00,242.20,active,2026-01-02T00:56:00Z
products-000090,PR-00090,grocery,Brand-15,116.00,162.40,active,2026-01-02T01:13:00Z
products-000091,PR-00091,grocery,Brand-01,40.00,56.00,active,2026-01-02T01:30:00Z
products-000092,PR-00092,apparel,Brand-02,40.00,56.00,active,2026-01-02T01:47:00Z
products-000093,PR-00093,home,Brand-03,85.00,119.00,active,2026-01-02T02:04:00Z
products-000094,PR-00094,home,Brand-04,182.00,254.80,active,2026-01-02T02:21:00Z
products-000095,PR-00095,home,Brand-05,89.00,124.60,active,2026-01-02T02:38:00Z
products-000096,PR-00096,home,Brand-06,108.00,151.20,active,2026-01-02T02:55:00Z
products-000097,PR-00097,electronics,Brand-07,44.00,61.60,active,2026-01-02T03:12:00Z
products-000098,PR-00098,electronics,Brand-08,64.00,89.60,active,2026-01-02T03:29:00Z
products-000099,PR-00099,grocery,Brand-09,124.00,173.60,active,2026-01-02T03:46:00Z
